Latitude,Longitude
42.5333333,1.5333333
42.55,1.7333333
24.466667,54.36666700000001
25.258172,55.304717
25.774612,55.970016
25.432273,56.345736
25.288123,55.881571
25.460122,56.012562
25.07462,56.355447
24.218997,55.739888
24.959508,56.315852
25.412279,56.170748
25.35731,55.40330400000001
25.189507,56.235157
25.932264,56.40512800000001
26.021389000000006,56.091389
24.298014,53.211395
25.414304,56.091233
24.798996,56.115379
22.95805,54.297206
25.709102,55.807724
25.478194,55.533768
25.092227,56.24418000000001
25.329901,56.021884
25.617288,56.011128
25.995584,56.380513
23.102651,53.581849
23.127315,53.75439300000001
24.099107,53.49076899999999
23.110884,54.015715
24.865864,56.260851
24.616667,51.4
24.912136,56.095661
24.221944,55.603056
24.053988,53.763468
24.25958,54.707814
22.992313,53.428915
24.110278,52.73055600000001
25.174666,56.330388
25.163564,56.09619
25.354005,55.853315
24.083333,55.683333
24.870768,55.549053
23.630726,53.729897
25.301285,56.16530600000001
24.278385,52.623689
23.283333,53.2
24.957746,56.205983
24.884097,56.205284
25.766667,56.066667
22.9941,54.221835
25.565895,56.202173
23.119039,53.928365
23.316096,54.067177
25.514168,56.071944
25.801287,56.351111
25.2,56.05
25.540918,56.130664
24.951349,56.14996800000001
24.294566,53.330688
23.013531,54.154475
23.066667,53.533333
24.116667,55.8
24.07843,53.53842
25.145833,55.334167
25.223647,55.38894300000001
24.994167,56.025
23.3,53.85
25.936667,56.172222
25.1,56.033333
24.052778,55.719722
24.803878,56.194487
25.247638,56.077192
25.016249,55.45533100000001
25.56473,55.555166
25.150151,55.205866
24.908972,56.303165
33.051945,68.65
32.669487,62.16116
32.243587,64.684706
36.689007,69.133751
34.234973,67.19159300000001
33.643952,64.694301
34.722778000000005,70.26138900000001
33.281975,64.648072
35.474953,69.871144
35.11979,61.48511
33.355062,67.657865
34.248889,68.608333
32.813402,65.96804200000001
32.503976,69.209795
31.975853000000004,67.59182
34.331309000000005,67.640744
33.443964,67.446848
31.920507,67.691807
31.719049,64.600709
34.869305,63.274235
34.739697,67.708229
38.290565,70.82552700000002
33.042291,68.026791
34.477778,68.29083299999999
35.57803,65.101776
34.621441,66.236618
31.786266,64.52124
32.80455,67.79332
32.85733,69.129471
32.795833,69.275278
32.673821000000004,69.126244
36.933547,69.94524399999999
33.482286,64.310608
33.087925,67.43729300000001
32.626767,65.79395500000001
33.894167,69.235833
35.436878,61.385679
36.883236,70.160088
33.801764,65.879646
34.151540999999995,63.419489
34.106897,64.16788199999999
32.261384,68.178921
34.874713,66.543614
31.807746,66.487208
35.706722,64.489174
32.635723,62.46544599999999
35.247261,69.61556999999999
33.284399,67.187217
36.033889,66.121944
34.052914,62.932137
36.65665300000001,68.37054
33.666252,68.009567
34.396667,67.896111
36.288461,66.853894
35.767752,66.56335
38.101827,70.465519
34.700352,69.33800500000001
35.396155,61.358598
33.857778,68.74194399999999
34.373889,68.837778
34.776778,68.629244
33.753691,65.848019
34.456124,68.035866
36.62146,71.18717
32.774997,67.033884
34.450013,70.511127
35.019545,69.282966
33.595593,63.511616
34.30481,62.255844
35.654722,64.606667
31.684185,64.362512
36.765827,69.403679
35.074092,63.151696
31.842262,65.854792
31.265079,64.243888
31.175171,62.064489
32.096052,65.862002
31.893301,66.406361
31.473333,67.021111
31.099444,61.857778
30.737901,64.11704300000001
34.761692,62.24629100000001
31.096111,66.621111
31.192113,62.153969
33.2975,68.28027800000001
33.309864000000005,69.812822
35.25676,63.486725
31.932216,66.654759
37.474451,69.695674
33.269721999999994,68.85972199999999
31.594318,67.423525
32.64383,66.218202
34.732533000000004,62.468026
35.128038000000004,69.056555
35.087589,63.258904
34.96133,69.606239
34.512882,70.56469
31.533681,64.993209
34.952539,61.686812
31.109194,64.180116
32.707035,66.716107
32.867561,67.46954000000001
32.076211,68.114209
31.317969,65.949354
32.639587,66.76432700000001
34.765896000000005,63.520962
31.533139,65.307982
32.827844,68.562173
32.860301,66.041049
